Postal Code;Latitude;Longitude;Sample Address;Sample Employer
A1C6C9;47.5630653;-52.7076773;215 Water Street, Box20, Suite511, St. John's, NL A1C6C9;Aker Solutions AIM
A0P1G0;55.4514098;-60.2300023;PO Box129, Hopedale, NL A0P1G0;Amaguk Inn
A0P1C0;53.3061725;-60.3605867;358 Hamilton River Road, PO Box177, STNC, Happy Valley-Goose Bay, NL A0P1C0;Astaldi Canada Inc.
A0A1G0;47.5871535;-53.2787055;1 Hope Avenue, Bay Roberts, NL A0A1G0;Atlantic Grocery Distributors
A1W3A6;47.5173136;-52.9625330;152 Conception Bay Highway, Conception Bay South, NL A1W3A6;CBS Foods Ltd
A2A2E1;48.9340010;-55.6445567;50 Union Street, Grand Falls-Windsor, NL A2A2E1;Central Health Authority
A0G3A0;49.2396062;-55.0930642;PO Box910, Lewisporte, NL A0G3A0;Coastal Shipping Ltd
A0A1P0;47.0960066;-52.9472844;PO Box29, Cape Broyle, NL A0A1P0;Conche Seafoods Ltd.
A0R1B0;52.8984026;-66.8642894;15 First Avenue, Wabush, NL A0R1B0;House-Man Limited
A1C1H3;47.5657256;-52.7068058;286 Duckworth Street, St. John's, NL A1C1H3;India Gate Restaurant
A1V1W6;48.9525445;-54.6226523;PO Box202, Gander, NL A1V1W6;Jungle Jim's Gander
A0K4S0;51.3689311;-55.5959421;200 West Street, Suite178, St. Anthony, NL A0K4S0;Labrador-Grenfell Health
A1B1W3;47.5613650;-52.7558211;56A Kenmount Road, St. John's, NL A1B1W3;Golden Phoenix Buffet
A0E2M0;47.1675037;-55.1534157;PO Box487, Marystown, NL A0E2M0;Marystown Hotel & Conven
A0B2Y0;47.2447573;-53.9630918;36 Prince William Drive, Placentia, NL A0B2Y0;Provincial Ready Mix
A5A0C3;48.1702042;-53.9897202;3 Coish Place, Clarenville, NL A5A0C3;Uncle Li Restaurant Inc
C0B1A0;46.2891968;-63.6297680;95 Train Station Road, Box 40, Albany, PE C0B1A0;Atlantic Beef Products Inc.
C0A2B0;46.3536076;-62.2465064;677 Route 2, PO Box418, Souris, PE C0A2B0;Eastern Exporters Ltd
C0A1X0;46.4615165;-63.3204412;Box175, North Rustico, PE C0A1X0;PEI Select Tours Inc
B3B1T4;44.7014414;-63.5861093;JK-61 Raddall Avenue, Dartmouth, NS B3B1T4;3043177 Nova Scotia Limited(Frontier Technology)
B0P1J0;45.1286608;-64.5185054;7295 Highway221, RR2, Centreville, NS B0P1J0;Allen Farms Limited
B3B1Z4;44.7144659;-63.5821074;11 Frazee Avenue, Dartmouth, NS B3B1Z4;AMEC Black & McDonald Ltd
B3K3G9;44.6655689;-63.5965602;3139 Veith Street, Halifax, NS B3K3G9;Atlantic Adventure Divers
B0N2T0;44.9826447;-64.1350671;467 Kings Street, PO Box3696, Windsor, NS B0N2T0;Baby Panda Asian Cuisine
B0M1L0;45.4158460;-63.5974846;9036 Highway2, Great Village, NS B0M1L0;Balamore Farm Ltd
B0M1E0;45.5729240;-63.9166688;1536 Wyvern Road, PO Box60, Collingwood, NS B0M1E0;Bragg Lumber Company
B3G1M5;44.6148509;-63.4971547;100 Government Warf Road, Eastern Passage, NS B3G1M5;Capital Seafood International Incorporated
B3T1P3;44.6019984;-63.6789834;8 Mills Drive, Goodwood, NS B3T1P3;Coastal Restoration & Masonry Limited
B3J3N2;44.6517042;-63.5742521;1959 Upper Water Street, Suite1301, Halifax, NS B3J3N2;DDI-Canada
B2W3E5;44.6794955;-63.5376858;58 Tacoma Drive, Suite101, Dartmouth, NS B2W3E5;Dr. Alzrighe Medical Inc. o/a Tacoma Family Medicine and Walk-In
B0N2H0;45.0373420;-63.2534940;138 Combe Road, Shubenacadie, NS B0N2H0;Eastern Dairy Services
B3T1M3;44.6414144;-63.6844289;31 Dominion Crescent, Lakeside, NS B3T1M3;Emera Uitlities Services Incorporated
B2Y3S1;44.6571319;-63.5499618;40 Pleasant Street, Dartmouth, NS B2Y3S1;Huminah Huminah Animation Inc.
B3K4C5;44.6552521;-63.5916196;2526 Agricola Street, Suite4, Halifax, NS B3K4C5;Leaf Music
B0S1P0;44.9242159;-65.0843058;PO Box 1676, Middleton, NS B0S1P0;Middleton Physiotherapy and Osteopathy Inc
B0M1P0;45.7473581;-63.8200711;115 Knol Drive, PO Box 368, Oxford, NS B0M1P0;Oxford Berry Farm
B3K4P1;44.6565723;-63.5973218;2727 Robie Street, Halifax, NS B3K4P1;PNL Communications Ltd.
B0P1T0;45.1379951;-64.4049546;1736 Church Street, Port Williams, NS B0P1T0;Taproot Farms Inc.
B3J2B2;44.6459550;-63.5739760;1575 Argyle Street, Halifax, NS B3J2B2;The Argyle Bar & Grill
B3A0A8;44.6848087;-63.5943122;146 Nadia Drive, Dartmouth, NS B3A0A8;The Battered Fish
B3K4M7;44.6513130;-63.5929360;2390 Robie Street, Halifax, NS B3K4M7;Tony's Famous Donair
B3R1Y9;44.5848629;-63.5894633;749 Herring Cove Road, Halifax, NS B3R1Y9;Tremblay Signs (1987) Ltd
E3B3N5;45.9623066;-66.6435773;66 York Street, Fredericton, NB E3B3N5;Andrei Master Tailor Ltd.
E3B5A6;45.8958394;-66.6090803;PO Box 550, STN A, Fredericton, NB E3B5A6;Econocrete
E1C1E3;46.0891038;-64.7765486;687 Main Street, Moncton, NB E1C1E3;Japan Go!
E3B3T4;45.9606543;-66.6418322;120 Carelton Street, Fredericton, NB E3B3T4;KSI Research International (2009) Inc.
E3L1G5;45.1929404;-67.2793955;73 Milltown Boulevard, Suite112, St. Stephen, NB E3L1G5;Town of St. Stephen
E2J2C2;45.2952092;-66.0407499;324 Rothesay Avenue, Saint John, NB E2J2C2;Vitos Restaurant
H3G1L7;45.4969101;-73.5817932;1535 Sherbrooke Street West, Montreal, QC H3G1L7;6122159 Canada Inc.
H3Z1X1;45.4835509;-73.5841407;3401 Saint-Antoine Street West, Westmount, QC H3Z1X1;7237502 CANADA INC.
H2Y1H3;45.5092981;-73.5516076;393 Saint-Paul Street East, Montreal, QC H2Y1H3;7Grains/Seven grains
J0H1B0;45.6595940;-73.0414805;634, 5e Rang, La Prsentation, QC J0H1B0;9008-1951 Qubec Inc. (Yves Sarrazin)
G2K2E4;46.8353780;-71.2962398;1305 Lebourgneuf Boulevard, Qubec, QC G2K2E4;9150-3193 Qubec Inc. (MCA Concept)
J0L1M0;45.4353271;-73.0454968;170, 5e Avenue, Rougemont, QC J0L1M0;A. Lassonde Inc.
H9J3Y4;45.4427046;-73.8830463;18122 Elkas Boulevard, Kirkland, QC H9J3Y4;Acadmie Marie-Claire
H4C2C7;45.4721176;-73.5833353;4000 Saint-Ambroise Street, Suite173, Montreal, QC H4C2C7;Alex et Alex Montral
J0N1E0;45.4698616;-74.0783939;125, rang Sainte-Sophie, Oka, QC J0N1E0;Arbo-Design Inc.
J0B1C0;45.1601729;-72.0368639;700 Ripplecove Street, Ayer's Cliff, QC J0B1C0;Auberge Ripplecove Inn 1985 Inc
H2J1X8;45.5282184;-73.5787521;1134 Mont-Royal Avenue East, Montreal, QC H2J1X8;Barraca rhumerie & tapas inc.
J0Z3A0;48.9964317;-79.3609802;93 Commerciale Street, Normtal, QC J0Z3A0;Boulangerie Normtal Inc.
H1Z3E4;45.5653455;-73.6122712;8351 Saint-Michel Boulevard, Montreal, QC H1Z3E4;Boulangerie Ptisserie Aoriana
H2X3L3;45.5173476;-73.5687406;3442 Saint-Denis Street, Montreal, QC H2X3L3;BSP Concept Inc.
H1Z2E2;45.5633335;-73.6097361;3206 Jarry Street East, Suite201, Montreal, QC H1Z2E2;Caf Bistro da Bola
H3G2E8;45.4985268;-73.5795792;2189 Bishop Street, Montreal, QC H3G2E8;Caf Des Beaux-Arts
J0N1H0;45.7172375;-73.7832858;2, chemin du Lac, Sainte-Anne-des-Plaines, QC J0N1H0;Camping Lac des Plaines
H7S1Y9;45.5610571;-73.7311941;1600 Le Corbusier Boulevard, Suite107, Laval, QC H7S1Y9;Centre Japonais de la Photo
J3Y5K2;45.4838033;-73.3880177;7500 Grande-Alle Boulevard, Saint-Hubert, QC J3Y5K2;Certex
H3E1T9;45.4669728;-73.5413219;3000 Ren-Levesque Boulevard, Suite100, Verdun, QC H3E1T9;Chez carl pizza & vin inc.
J0E2K0;45.0996950;-72.6020887;50 Principale Street North, Sutton, QC J0E2K0;Chez Matis Traiteur
H2Y1Z5;45.5036145;-73.5548810;147 Saint-Paul Street West, Suite200, Montreal, QC H2Y1Z5;Chinook Trading Canada Limited
H3J2Z6;45.4795211;-73.5756690;151 Atwater Street, PO Box72129, Montreal, QC H3J2Z6;Club De Gymnastique Artistique Gadbois
J8E1S5;46.1863878;-74.5972776;6385, monte Ryan, Mont-Tremblant, QC J8E1S5;Club Lespri Tremblant ULC
H1N1C1;45.5775107;-73.5457440;6092 Sherbrooke Street East, Montreal, QC H1N1C1;Coiffure Donald Proulx Inc
J4B7L4;45.5707843;-73.4134964;1550 Ampre Street, Suite200, Boucherville, QC J4B7L4;Construction DJL Inc.
G0X3M0;48.1095231;-75.3597974;8, chemin de la Gare, Clova, La Tuque, QC G0X3M0;Cooprative de Solidarit du Huitime Feu
G0L1X0;47.6156933;-68.8074132;PO Box1753, Tmiscouata-sur-le-Lac, QC G0L1X0;CPA les Perce-Neige du Tmiscouata
J1X7K3;45.2813814;-72.1224105;2167 Louis-Faucher Street, Magog, QC J1X7K3;Dbosselage Orford inc.
H3H2E7;45.4920719;-73.5789315;1225 Saint Marc Street, Suite1208, Montreal, QC H3H2E7;Distribution Importex
A1N2C4;47.5062835;-52.7918122;Box 392, Mount Pearl, NL A1N2C4;Lester's Farm Market
A0P1E0;53.3053793;-60.3073404;PO Box493, STNB, Happy Valley-Goose Bay, NL A0P1E0;Maxwell's & Bentley's
A1C5S7;47.5731022;-52.7348949;Elizabeth Avenue, PO Box4200, St. John's, NL A1C5S7;Memorial University Of Newfoundland and Labrador
A1B3P9;47.5516193;-52.7738249;193 Kenmount Road, Unit2, St. John's, NL A1B3P9;Merlo's Inferno
A0B1N0;47.9296636;-53.9480816;PO Box40, Come By Chance, NL A0B1N0;NARL Refining Ltd Partnership
A0A1C0;47.3202414;-52.8183469;92 Farm Road, Bay Bulls, NL A0A1C0;Ocean View Farm
A1C1K4;47.5718845;-52.6997632;Baine Johson Centre, Suite701, St. John's, NL A1C1K4;Oceanex Inc.
A0C1A0;48.3909943;-53.9054009;PO Box205, Musgravetown, NL A0C1A0;Sunrise Dairy Limited
A5A1Z2;48.1510092;-53.9664524;2 Tilley's Road, Clarenville, NL A5A1Z2;Tai Hong Restaurant
A1B4J9;47.5743745;-52.7222000;PO Box23106, Churchill Square, St. John's, NL A1B4J9;West End Foods Limited oa Jungle Jims
A2H6J7;48.9489434;-57.9305661;1 Brookfield Avenue, Corner Brook, NL A2H6J7;Western Regional Integrated Health Authority
C0B1M0;46.4722372;-63.5863612;713 Route 104, RR5, Kensington, PE C0B1M0;Atlantic Grown Organics Inc
C1A4P3;46.2460132;-63.1303914;550 University Avenue, Charlottetown, PE C1A4P3;Atlantic Veterinary College
C0A1V0;46.0106793;-62.5481593;75 Wharf Lane, Beach Point, PE C0A1V0;Beach Point Processing Company
C0A1B0;45.9557207;-62.7487869;12 Waterview Lane, Belle River, PE C0A1B0;Belle River Enterprises Ltd.
C0B1N0;46.3336795;-63.4404369;1010 Newton Road, PO Box52, Kinkora, PE C0B1N0;Big Diesel Transport Inc
C1N4J9;46.3742012;-63.7288548;220 Stavert Shore Road, North Bedeque, Summerside, PE C1N4J9;Birch Farms Ltd
C0A1N0;46.4423155;-63.3647072;7033 Rustico Road, Hunter River, PE C0A1N0;Birkentree Holsteins
C0A1Y0;46.2805973;-63.3500210;1067 Millboro Road, RR4, Brookfield, PE C0A1Y0;Brookfield Gardens Inc
C0A1H0;46.2472756;-63.2277199;PO Box153, Cornwall, PE C0A1H0;Bulk Carriers (P.E.I.) Limited
C0B1Y0;46.5067754;-63.9912626;3499 Grand River Route12, RR1, Richmond, PE C0B1Y0;Cedar Grove Farms
C0A2E0;46.1774603;-62.8591839;70 McInnis Point Road, Vernon River, PE C0A2E0;Eastern Farms Ltd
C0A1E0;46.4691265;-63.4500854;71 MacKay Lane North Granville, RR1, Breadalbane, PE C0A1E0;Howardvale Holsteins
C0A1T0;46.3413689;-62.8904682;1423 Mount Stewart Road, PO Box43, Mount Stewart, PE C0A1T0;International Genetics PEI Ltd
C0A1P0;46.3339135;-63.0782777;1203 Covehead Road, York, PE C0A1P0;Jewell's of PEI Inc
C0B1B0;46.8134842;-64.0657369;15900 Route12, Alberton, PE C0B1B0;Kildare Fisheries Ltd.
C1B2A8;46.2243950;-63.0951130;15 Glen Stewart Drive, Stratford, PE C1B2A8;Little Blessings
C0A1R0;46.1611699;-62.6507932;PO Box1447, Montague, PE C0A1R0;Maplehurst Properties
C0A1S0;46.4162349;-62.7071529;318 Red Head Road, PO Box39, Morell, PE C0A1S0;PEI Mussel King Inc.
C0B2B0;46.9513482;-64.0336435;175 Judes Point Road, PO Box69, Tignish, PE C0B2B0;Royal Star Foods Ltd.
C1A5P3;46.2568663;-63.1202392;121 St. Peter's Road, Charlottetown, PE C1A5P3;Sam's Family Restaurant Charlottetown
C1A7M8;46.2322305;-63.1227088;PO Box1267, Charlottetown, PE C1A7M8;Seafood Express (PEI) Limited
C0B1E0;46.7616845;-64.1806720;PO Box31, Bloomfield, PE C0B1E0;South Shore Seafoods Ltd.
C1A4B1;46.2337478;-63.1267340;92 Queen Street, Charlottetown, PE C1A4B1;Ta Ke Japanese Restaurant
C0B1T0;46.4326533;-63.8683884;621 Belmont Road, Route123, Miscouche, PE C0B1T0;Tiny Acres Holsteins
B2T1C8;44.9229155;-63.5410760;6757 Highway2, Enfield, NS B2T1C8;3099794 NS Ltd (Enfield Big Stop)
B3M2Y6;44.6614703;-63.6476695;46 Deepwood Crescent, Halifax, NS B3M2Y6;3290067 Nova Scotia Limited
B3H0A8;44.6392875;-63.5828888;1344 Summer Street, Suite202, Halifax, NS B3H0A8;ABK Biomedical Inc.
B3B1X8;44.6969416;-63.5968461;30 Brown Avenue, Dartmouth, NS B3B1X8;Acadian Seaplants Ltd.
B4A0C1;44.7497005;-63.6404060;30 Damascus Road, Suite202, Bedford, NS B4A0C1;Admiral Administration (Canada) Ltd.
B2W6A4;44.6935989;-63.5009175;575 Main Street, Unit6, Dartmouth, NS B2W6A4;Ali's Seafood & Kabob Cuisine
B3Z0E3;44.6732274;-63.8253111;196 Black Bear Circle, Lewis Lake, NS B3Z0E3;Allure Construction Ltd.
B4P2R2;45.0379706;-64.4235991;266 Sunnyside Road, Wolfville, NS B4P2R2;Noggins Corner Farm
B0P1E0;45.0016573;-64.7129426;54 Prospect Road, RR1, Berwick, NS B0P1E0;Apple Lane Farm Inc
B0P1V0;45.0729606;-64.6653910;23 Bent Road, Waterville, NS B0P1V0;Apples & Spice
B0K1Y0;45.8071202;-63.5171999;PO Box300, Wallace, NS B0K1Y0;Aquashell Holdings Inc.
